"Santa Cruz","60-69","S.I.","5"
"Santa Cruz","70-79","F","4054"
"Santa Cruz","70-79","M","3293"
"Santa Cruz","70-79","S.I.","39"
"Santa Cruz","80-89","F","1890"
"Santa Cruz","80-89","M","1306"
"Santa Cruz","80-89","S.I.","39"
"Santa Cruz","90-99","F","348"
"Santa Cruz","90-99","M","185"
"Santa Cruz","90-99","S.I.","21"
"Santa Cruz",">=100","F","4"
"Santa Cruz",">=100","M","2"
"Santa Cruz","S.I.","M","2"
"Santa Fe","18-29","F","15141"
"Santa Fe","18-29","M","5669"
"Santa Fe","18-29","S.I.","1"
"Santa Fe","30-39","F","37384"
"Santa Fe","30-39","M","13155"
"Santa Fe","30-39","S.I.","3"
"Santa Fe","40-49","F","43908"
"Santa Fe","40-49","M","14491"
"Santa Fe","40-49","S.I.","2"
"Santa Fe","50-59","F","33786"
"Santa Fe","50-59","M","12064"
"Santa Fe","60-69","F","8033"
"Santa Fe","60-69","M","6089"
"Santa Fe","60-69","S.I.","1"
"Santa Fe","70-79","F","17522"
"Santa Fe","70-79","M","11924"
"Santa Fe","80-89","F","35024"
"Santa Fe","80-89","M","17949"
"Santa Fe","90-99","F","8354"
"Santa Fe","90-99","M","2579"
"Santa Fe",">=100","F","179"
"Santa Fe",">=100","M","39"
"Santa Fe","S.I.","F","3"
"Santiago del Estero","18-29","F","2337"
"Santiago del Estero","18-29","M","1266"
"Santiago del Estero","18-29","S.I.","2"
"Santiago del Estero","30-39","F","7130"
"Santiago del Estero","30-39","M","2965"
"Santiago del Estero","30-39","S.I.","33"
"Santiago del Estero","40-49","F","9512"
"Santiago del Estero","40-49","M","3856"
"Santiago del Estero","40-49","S.I.","41"
"Santiago del Estero","50-59","F","6127"
"Santiago del Estero","50-59","M","2867"
"Santiago del Estero","50-59","S.I.","16"
"Santiago del Estero","60-69","F","1192"
"Santiago del Estero","60-69","M","959"
"Santiago del Estero","60-69","S.I.","4"
"Santiago del Estero","70-79","F","9288"
"Santiago del Estero","70-79","M","6949"
"Santiago del Estero","70-79","S.I.","65"
"Santiago del Estero","80-89","F","3550"
"Santiago del Estero","80-89","M","1848"
"Santiago del Estero","80-89","S.I.","47"
"Santiago del Estero","90-99","F","598"
"Santiago del Estero","90-99","M","234"
"Santiago del Estero","90-99","S.I.","15"
"Santiago del Estero",">=100","F","6"
"Santiago del Estero",">=100","M","1"
"Santiago del Estero",">=100","S.I.","1"
"Santiago del Estero","S.I.","M","1"
"Tierra del Fuego","18-29","F","514"
"Tierra del Fuego","18-29","M","265"
"Tierra del Fuego","18-29","S.I.","2"
"Tierra del Fuego","30-39","F","1652"
"Tierra del Fuego","30-39","M","781"
"Tierra del Fuego","30-39","S.I.","7"
"Tierra del Fuego","40-49","F","1402"
"Tierra del Fuego","40-49","M","795"
"Tierra del Fuego","40-49","S.I.","4"
"Tierra del Fuego","50-59","F","1670"
"Tierra del Fuego","50-59","M","1278"
"Tierra del Fuego","50-59","S.I.","16"
"Tierra del Fuego","60-69","F","571"
"Tierra del Fuego","60-69","M","584"
"Tierra del Fuego","60-69","S.I.","9"
"Tierra del Fuego","70-79","F","1706"
"Tierra del Fuego","70-79","M","1487"
"Tierra del Fuego","70-79","S.I.","27"
"Tierra del Fuego","80-89","F","616"
"Tierra del Fuego","80-89","M","376"
"Tierra del Fuego","80-89","S.I.","6"
"Tierra del Fuego","90-99","F","103"
"Tierra del Fuego","90-99","M","38"
"Tierra del Fuego","90-99","S.I.","7"
"Tierra del Fuego",">=100","F","1"
"Tierra del Fuego","S.I.","S.I.","1"
"Tucumán","18-29","F","3338"
"Tucumán","18-29","M","2839"
"Tucumán","30-39","F","9478"
"Tucumán","30-39","M","6277"
"Tucumán","40-49","F","11773"
"Tucumán","40-49","M","6911"
"Tucumán","50-59","F","8489"
"Tucumán","50-59","M","4466"
"Tucumán","50-59","S.I.","1"
"Tucumán","60-69","F","4792"
"Tucumán","60-69","M","3677"
"Tucumán","70-79","F","22505"
"Tucumán","70-79","M","19265"
"Tucumán","80-89","F","8182"
"Tucumán","80-89","M","5197"
"Tucumán","90-99","F","1125"
"Tucumán","90-99","M","496"
"Tucumán",">=100","F","16"
"Tucumán",">=100","M","4"
