"count","jurisdiccion_aplicacion","fecha_aplicacion","nombre_dosis_generica"
36745,"Buenos Aires","2021-08-01","1ra"
52805,"Buenos Aires","2021-08-01","2da"
62732,"Buenos Aires","2021-08-02","1ra"
79047,"Buenos Aires","2021-08-02","2da"
73222,"Buenos Aires","2021-08-03","1ra"
62697,"Buenos Aires","2021-08-03","2da"
65500,"Buenos Aires","2021-08-04","1ra"
72906,"Buenos Aires","2021-08-04","2da"
51123,"Buenos Aires","2021-08-05","1ra"
71005,"Buenos Aires","2021-08-05","2da"
44731,"Buenos Aires","2021-08-06","1ra"
74301,"Buenos Aires","2021-08-06","2da"
34923,"Buenos Aires","2021-08-07","1ra"
62914,"Buenos Aires","2021-08-07","2da"
19354,"Buenos Aires","2021-08-08","1ra"
60529,"Buenos Aires","2021-08-08","2da"
48953,"Buenos Aires","2021-08-09","1ra"
30713,"Buenos Aires","2021-08-09","2da"
38769,"Buenos Aires","2021-08-10","1ra"
32001,"Buenos Aires","2021-08-10","2da"
28611,"Buenos Aires","2021-08-11","1ra"
88557,"Buenos Aires","2021-08-11","2da"
1,"Buenos Aires","2021-08-11","Adicional"
24292,"Buenos Aires","2021-08-12","1ra"
86471,"Buenos Aires","2021-08-12","2da"
1,"Buenos Aires","2021-08-12","Refuerzo"
22206,"Buenos Aires","2021-08-13","1ra"
84726,"Buenos Aires","2021-08-13","2da"
15009,"Buenos Aires","2021-08-14","1ra"
73120,"Buenos Aires","2021-08-14","2da"
8909,"Buenos Aires","2021-08-15","1ra"
63689,"Buenos Aires","2021-08-15","2da"
10218,"Buenos Aires","2021-08-16","1ra"
65722,"Buenos Aires","2021-08-16","2da"
23500,"Buenos Aires","2021-08-17","1ra"
116085,"Buenos Aires","2021-08-17","2da"
1,"Buenos Aires","2021-08-17","Adicional"
1,"Buenos Aires","2021-08-17","Refuerzo"
24741,"Buenos Aires","2021-08-18","1ra"
126172,"Buenos Aires","2021-08-18","2da"
24367,"Buenos Aires","2021-08-19","1ra"
135166,"Buenos Aires","2021-08-19","2da"
29253,"Buenos Aires","2021-08-20","1ra"
130799,"Buenos Aires","2021-08-20","2da"
25797,"Buenos Aires","2021-08-21","1ra"
90014,"Buenos Aires","2021-08-21","2da"
15579,"Buenos Aires","2021-08-22","1ra"
82307,"Buenos Aires","2021-08-22","2da"
29371,"Buenos Aires","2021-08-23","1ra"
84298,"Buenos Aires","2021-08-23","2da"
29729,"Buenos Aires","2021-08-24","1ra"
83199,"Buenos Aires","2021-08-24","2da"
25377,"Buenos Aires","2021-08-25","1ra"
85804,"Buenos Aires","2021-08-25","2da"
1,"Buenos Aires","2021-08-25","Refuerzo"
24091,"Buenos Aires","2021-08-26","1ra"
70688,"Buenos Aires","2021-08-26","2da"
1,"Buenos Aires","2021-08-26","Adicional"
1,"Buenos Aires","2021-08-26","Refuerzo"
21280,"Buenos Aires","2021-08-27","1ra"
87473,"Buenos Aires","2021-08-27","2da"
20094,"Buenos Aires","2021-08-28","1ra"
63521,"Buenos Aires","2021-08-28","2da"
3,"Buenos Aires","2021-08-28","Refuerzo"
11917,"Buenos Aires","2021-08-29","1ra"
57568,"Buenos Aires","2021-08-29","2da"
28092,"Buenos Aires","2021-08-30","1ra"
100862,"Buenos Aires","2021-08-30","2da"
1,"Buenos Aires","2021-08-30","Refuerzo"
24474,"Buenos Aires","2021-08-31","1ra"
98530,"Buenos Aires","2021-08-31","2da"
17640,"Buenos Aires","2021-09-01","1ra"
99602,"Buenos Aires","2021-09-01","2da"
19121,"Buenos Aires","2021-09-02","1ra"
112123,"Buenos Aires","2021-09-02","2da"
2,"Buenos Aires","2021-09-02","Adicional"
17053,"Buenos Aires","2021-09-03","1ra"
108957,"Buenos Aires","2021-09-03","2da"
16264,"Buenos Aires","2021-09-04","1ra"
94502,"Buenos Aires","2021-09-04","2da"
9675,"Buenos Aires","2021-09-05","1ra"
81500,"Buenos Aires","2021-09-05","2da"
19267,"Buenos Aires","2021-09-06","1ra"
117625,"Buenos Aires","2021-09-06","2da"
16224,"Buenos Aires","2021-09-07","1ra"
115585,"Buenos Aires","2021-09-07","2da"
16,"Buenos Aires","2021-09-07","Unica"
15457,"Buenos Aires","2021-09-08","1ra"
77694,"Buenos Aires","2021-09-08","2da"
2,"Buenos Aires","2021-09-08","Adicional"
1,"Buenos Aires","2021-09-08","Unica"
13412,"Buenos Aires","2021-09-09","1ra"
82446,"Buenos Aires","2021-09-09","2da"
6,"Buenos Aires","2021-09-09","Adicional"
13751,"Buenos Aires","2021-09-10","1ra"
84137,"Buenos Aires","2021-09-10","2da"
2,"Buenos Aires","2021-09-10","Adicional"
3,"Buenos Aires","2021-09-10","Refuerzo"
10472,"Buenos Aires","2021-09-11","1ra"
93394,"Buenos Aires","2021-09-11","2da"
8,"Buenos Aires","2021-09-11","Adicional"
4,"Buenos Aires","2021-09-11","Refuerzo"
2,"Buenos Aires","2021-09-11","Unica"
220,"Buenos Aires","2021-09-12","1ra"
174,"Buenos Aires","2021-09-12","2da"
13096,"Buenos Aires","2021-09-13","1ra"
121469,"Buenos Aires","2021-09-13","2da"
20466,"Buenos Aires","2021-09-14","1ra"
92013,"Buenos Aires","2021-09-14","2da"
12190,"Buenos Aires","2021-09-15","1ra"
114372,"Buenos Aires","2021-09-15","2da"
2,"Buenos Aires","2021-09-15","Refuerzo"
10621,"Buenos Aires","2021-09-16","1ra"
99397,"Buenos Aires","2021-09-16","2da"
4,"Buenos Aires","2021-09-16","Adicional"
4,"Buenos Aires","2021-09-16","Refuerzo"
10124,"Buenos Aires","2021-09-17","1ra"
71381,"Buenos Aires","2021-09-17","2da"
17,"Buenos Aires","2021-09-17","Adicional"
2,"Buenos Aires","2021-09-17","Refuerzo"
7723,"Buenos Aires","2021-09-18","1ra"
85602,"Buenos Aires","2021-09-18","2da"
2,"Buenos Aires","2021-09-18","Refuerzo"
5,"Buenos Aires","2021-09-18","Unica"
7067,"Buenos Aires","2021-09-19","1ra"
72916,"Buenos Aires","2021-09-19","2da"
11197,"Buenos Aires","2021-09-20","1ra"
131224,"Buenos Aires","2021-09-20","2da"
4,"Buenos Aires","2021-09-20","Adicional"
1,"Buenos Aires","2021-09-20","Refuerzo"
4,"Buenos Aires","2021-09-20","Unica"
12565,"Buenos Aires","2021-09-21","1ra"
125194,"Buenos Aires","2021-09-21","2da"
64,"Buenos Aires","2021-09-21","Unica"
12732,"Buenos Aires","2021-09-22","1ra"
110827,"Buenos Aires","2021-09-22","2da"
471,"Buenos Aires","2021-09-22","Unica"
101807,"Buenos Aires","2021-09-23","1ra"
20803,"Buenos Aires","2021-09-23","2da"
2,"Buenos Aires","2021-09-23","Adicional"
1,"Buenos Aires","2021-09-23","Refuerzo"
601,"Buenos Aires","2021-09-23","Unica"
11443,"Buenos Aires","2021-09-24","1ra"
90258,"Buenos Aires","2021-09-24","2da"
3,"Buenos Aires","2021-09-24","Adicional"
2,"Buenos Aires","2021-09-24","Refuerzo"
1039,"Buenos Aires","2021-09-24","Unica"
8988,"Buenos Aires","2021-09-25","1ra"
45303,"Buenos Aires","2021-09-25","2da"
1,"Buenos Aires","2021-09-25","Refuerzo"
1347,"Buenos Aires","2021-09-25","Unica"
4810,"Buenos Aires","2021-09-26","1ra"
35776,"Buenos Aires","2021-09-26","2da"
5,"Buenos Aires","2021-09-26","Refuerzo"
281,"Buenos Aires","2021-09-26","Unica"
12200,"Buenos Aires","2021-09-27","1ra"
91191,"Buenos Aires","2021-09-27","2da"
15,"Buenos Aires","2021-09-27","Adicional"
1,"Buenos Aires","2021-09-27","Refuerzo"
1232,"Buenos Aires","2021-09-27","Unica"
11140,"Buenos Aires","2021-09-28","1ra"
81994,"Buenos Aires","2021-09-28","2da"
957,"Buenos Aires","2021-09-28","Unica"
11857,"Buenos Aires","2021-09-29","1ra"
62920,"Buenos Aires","2021-09-29","2da"
3,"Buenos Aires","2021-09-29","Refuerzo"
703,"Buenos Aires","2021-09-29","Unica"
20203,"Buenos Aires","2021-09-30","1ra"
95513,"Buenos Aires","2021-09-30","2da"
320,"Buenos Aires","2021-09-30","Unica"
